DATETIME,ENTITY_DESCRIPTION_SHORT,y_pred,KEY
2019-11-23 10:45:00,Water Ride,41.558464,Validation
2022-01-03 16:45:00,Pirate Ship,41.76814,Validation
2021-12-04 15:30:00,Pirate Ship,31.907545,Validation
2020-02-05 13:15:00,Water Ride,21.281433,Validation
2022-05-13 15:15:00,Flying Coaster,18.960682,Validation
2020-01-04 10:00:00,Pirate Ship,48.403492,Validation
2020-10-03 14:00:00,Water Ride,20.743874,Validation
2021-06-26 10:45:00,Flying Coaster,37.719345,Validation
2018-11-11 19:30:00,Flying Coaster,1.6302589,Validation
2018-10-10 14:15:00,Flying Coaster,22.075958,Validation
2019-04-22 19:15:00,Water Ride,2.3609018,Validation
2019-07-03 11:45:00,Water Ride,22.513554,Validation
2020-10-07 13:45:00,Flying Coaster,9.323702,Validation
2022-07-17 12:30:00,Water Ride,26.489286,Validation
2022-05-05 16:45:00,Pirate Ship,38.8965,Validation
2020-03-08 12:45:00,Water Ride,26.83412,Validation
2018-10-06 16:30:00,Pirate Ship,49.53664,Validation
2022-06-05 15:00:00,Flying Coaster,26.264744,Validation
2019-09-29 17:15:00,Flying Coaster,18.256634,Validation
2019-09-06 18:30:00,Flying Coaster,10.132989,Validation
2021-06-20 09:45:00,Water Ride,19.163979,Validation
2022-03-01 10:15:00,Pirate Ship,30.170551,Validation
2019-09-29 10:30:00,Flying Coaster,37.353558,Validation
2022-05-05 16:45:00,Flying Coaster,13.916435,Validation
2019-01-21 11:00:00,Flying Coaster,22.842093,Validation
2020-02-26 13:45:00,Water Ride,26.855118,Validation
2019-03-22 17:15:00,Water Ride,14.329994,Validation
2022-07-17 19:45:00,Pirate Ship,26.9386,Validation
2021-09-07 10:15:00,Flying Coaster,8.959769,Validation
2021-11-01 13:15:00,Flying Coaster,34.973854,Validation
2022-05-02 19:15:00,Flying Coaster,5.5254426,Validation
2021-09-15 16:00:00,Flying Coaster,9.59402,Validation
2021-07-15 11:30:00,Pirate Ship,28.328989,Validation
2020-02-29 17:15:00,Water Ride,28.907923,Validation
2021-11-22 12:00:00,Flying Coaster,14.0821495,Validation
2019-03-18 17:30:00,Flying Coaster,10.0828495,Validation
2021-08-22 18:30:00,Flying Coaster,4.0305076,Validation
