DATETIME,ENTITY_DESCRIPTION_SHORT,y_pred,KEY
2019-11-23 10:45:00,Water Ride,47.25988,Validation
2022-01-03 16:45:00,Pirate Ship,40.663425,Validation
2021-12-04 15:30:00,Pirate Ship,39.45753,Validation
2020-02-05 13:15:00,Water Ride,14.76161,Validation
2022-05-13 15:15:00,Flying Coaster,17.811302,Validation
2020-01-04 10:00:00,Pirate Ship,39.256905,Validation
2020-10-03 14:00:00,Water Ride,17.083824,Validation
2021-06-26 10:45:00,Flying Coaster,40.76519,Validation
2018-11-11 19:30:00,Flying Coaster,-0.8484496,Validation
2018-10-10 14:15:00,Flying Coaster,23.928116,Validation
2019-04-22 19:15:00,Water Ride,4.864253,Validation
2019-07-03 11:45:00,Water Ride,21.990427,Validation
2020-10-07 13:45:00,Flying Coaster,7.12121,Validation
2022-07-17 12:30:00,Water Ride,28.529255,Validation
2022-05-05 16:45:00,Pirate Ship,39.14654,Validation
2020-03-08 12:45:00,Water Ride,25.049862,Validation
2018-10-06 16:30:00,Pirate Ship,55.65681,Validation
2022-06-05 15:00:00,Flying Coaster,31.933405,Validation
2019-09-29 17:15:00,Flying Coaster,11.508187,Validation
2019-09-06 18:30:00,Flying Coaster,11.451285,Validation
2021-06-20 09:45:00,Water Ride,19.149164,Validation
2022-03-01 10:15:00,Pirate Ship,31.029285,Validation
2019-09-29 10:30:00,Flying Coaster,25.937025,Validation
2022-05-05 16:45:00,Flying Coaster,15.954362,Validation
2019-01-21 11:00:00,Flying Coaster,24.373175,Validation
2020-02-26 13:45:00,Water Ride,46.743076,Validation
2019-03-22 17:15:00,Water Ride,9.722826,Validation
2022-07-17 19:45:00,Pirate Ship,15.153915,Validation
2021-09-07 10:15:00,Flying Coaster,10.712543,Validation
2021-11-01 13:15:00,Flying Coaster,36.909904,Validation
2022-05-02 19:15:00,Flying Coaster,7.0507455,Validation
2021-09-15 16:00:00,Flying Coaster,9.296024,Validation
2021-07-15 11:30:00,Pirate Ship,24.461765,Validation
2020-02-29 17:15:00,Water Ride,39.751694,Validation
2021-11-22 12:00:00,Flying Coaster,12.650386,Validation
2019-03-18 17:30:00,Flying Coaster,18.748842,Validation
2021-08-22 18:30:00,Flying Coaster,8.53241,Validation
2019-08-31 20:45:00,Flying Coaster,5.5793333,Validation
2019-12-31 15:30:00,Pirate Ship,34.699104,Validation
2020-08-17 12:45:00,Water Ride,19.103395,Validation
2021-08-20 16:00:00,Flying Coaster,10.726519,Validation
2021-09-05 14:45:00,Water Ride,25.279535,Validation
2020-08-02 18:00:00,Pirate Ship,12.395799,Validation
2019-12-24 14:15:00,Water Ride,36.579754,Validation
2020-02-26 16:15:00,Pirate Ship,48.30048,Validation
2020-01-14 15:45:00,Pirate Ship,33.716366,Validation
2021-08-16 14:30:00,Pirate Ship,28.32213,Validation
2018-10-07 11:30:00,Flying Coaster,25.361996,Validation
2019-12-18 11:15:00,Pirate Ship,38.12688,Validation
2022-02-23 13:15:00,Pirate Ship,33.81606,Validation
2021-08-20 10:45:00,Flying Coaster,17.81935,Validation
2021-11-10 13:45:00,Flying Coaster,22.346548,Validation
2019-05-27 14:15:00,Water Ride,18.895638,Validation
2022-03-18 13:30:00,Pirate Ship,35.138916,Validation
2022-03-30 16:30:00,Pirate Ship,45.876816,Validation
2022-05-14 10:15:00,Flying Coaster,28.158508,Validation
2022-07-23 20:00:00,Flying Coaster,5.7857127,Validation
2021-07-01 17:45:00,Flying Coaster,20.337116,Validation
2020-03-01 11:15:00,Water Ride,28.33958,Validation
2021-11-04 12:45:00,Water Ride,25.773672,Validation
2021-09-17 09:45:00,Pirate Ship,26.601164,Validation
2021-12-01 17:00:00,Flying Coaster,11.110352,Validation
2021-12-30 14:00:00,Water Ride,34.973183,Validation
2019-07-29 16:15:00,Water Ride,22.287012,Validation
2021-10-30 16:45:00,Pirate Ship,34.79093,Validation
2022-03-11 16:30:00,Flying Coaster,4.181679,Validation
2020-09-20 13:30:00,Flying Coaster,20.63428,Validation
2022-02-21 09:15:00,Pirate Ship,42.346745,Validation
2022-01-30 15:45:00,Pirate Ship,23.61603,Validation
2021-12-15 09:30:00,Pirate Ship,35.376087,Validation
2021-08-01 18:15:00,Pirate Ship,28.960325,Validation
2021-07-26 15:15:00,Flying Coaster,5.911525,Validation
2019-10-17 12:45:00,Flying Coaster,19.437063,Validation
2020-07-20 14:30:00,Water Ride,17.892492,Validation
2021-09-14 15:30:00,Water Ride,20.206272,Validation
2020-01-07 13:00:00,Flying Coaster,24.967009,Validation
2021-10-05 14:15:00,Pirate Ship,20.919716,Validation
2022-08-01 11:00:00,Pirate Ship,31.623314,Validation
2021-08-27 16:30:00,Water Ride,29.501978,Validation
2021-12-08 15:45:00,Water Ride,40.489628,Validation
2019-02-05 15:00:00,Flying Coaster,8.647788,Validation
2018-12-06 15:45:00,Flying Coaster,11.030265,Validation
2022-06-24 16:15:00,Water Ride,28.656576,Validation
2019-10-08 16:30:00,Flying Coaster,8.368548,Validation
2021-10-10 18:15:00,Water Ride,16.620813,Validation
2021-08-22 18:30:00,Water Ride,14.9017,Validation
2020-02-09 16:30:00,Water Ride,9.251811,Validation
2022-06-24 19:30:00,Flying Coaster,5.110987,Validation
2022-01-09 18:00:00,Pirate Ship,18.202965,Validation
2022-03-18 17:00:00,Flying Coaster,9.726642,Validation
2021-08-23 14:15:00,Flying Coaster,21.716724,Validation
2022-05-28 14:30:00,Flying Coaster,40.148304,Validation
2018-10-21 18:00:00,Flying Coaster,14.694756,Validation
2021-10-26 13:00:00,Pirate Ship,34.6194,Validation
2021-12-01 10:45:00,Pirate Ship,30.224487,Validation
2021-12-19 10:30:00,Pirate Ship,27.369625,Validation
2020-08-04 13:15:00,Water Ride,23.946152,Validation
2021-10-18 14:00:00,Flying Coaster,31.917986,Validation
2022-08-16 20:45:00,Flying Coaster,4.643041,Validation
2019-04-02 10:15:00,Water Ride,21.095812,Validation
2019-01-27 11:45:00,Water Ride,33.654896,Validation
2020-10-17 12:30:00,Pirate Ship,28.540615,Validation
2022-06-04 17:30:00,Flying Coaster,19.806305,Validation
2020-02-11 16:15:00,Flying Coaster,12.880953,Validation
2019-11-04 15:30:00,Flying Coaster,4.850655,Validation
2019-01-28 12:30:00,Flying Coaster,12.554963,Validation
2022-05-25 15:45:00,Flying Coaster,11.484421,Validation
2019-05-16 10:00:00,Water Ride,15.973225,Validation
2020-08-14 12:15:00,Pirate Ship,34.280193,Validation
2022-03-03 15:45:00,Pirate Ship,29.18027,Validation
2019-10-13 17:15:00,Water Ride,21.00161,Validation
2020-08-06 09:30:00,Flying Coaster,23.89163,Validation
2021-10-16 15:00:00,Pirate Ship,30.591341,Validation
2018-10-06 12:30:00,Water Ride,32.969025,Validation
2021-12-08 11:45:00,Flying Coaster,26.816076,Validation
2022-06-07 14:00:00,Flying Coaster,28.63289,Validation
2022-03-27 14:30:00,Water Ride,40.570305,Validation
2021-10-11 14:45:00,Pirate Ship,27.0023,Validation
2020-02-24 16:00:00,Pirate Ship,53.85585,Validation
2018-12-12 13:30:00,Flying Coaster,23.753366,Validation
2019-10-14 11:15:00,Flying Coaster,16.528675,Validation
2021-08-19 18:45:00,Pirate Ship,27.14245,Validation
2021-10-12 16:15:00,Water Ride,27.758387,Validation
2019-03-07 15:00:00,Flying Coaster,24.753101,Validation
2021-10-15 14:00:00,Flying Coaster,13.766177,Validation
2019-10-13 13:00:00,Water Ride,25.74579,Validation
2021-09-14 13:15:00,Water Ride,16.000578,Validation
2018-12-11 16:00:00,Flying Coaster,12.340033,Validation
2019-04-09 17:15:00,Flying Coaster,25.760754,Validation
2019-07-30 18:00:00,Water Ride,14.739464,Validation
2022-04-14 10:45:00,Pirate Ship,34.201065,Validation
2021-08-25 10:30:00,Water Ride,30.02154,Validation
2022-05-03 13:30:00,Water Ride,35.929073,Validation
2019-02-15 11:15:00,Flying Coaster,29.313034,Validation
2022-06-24 14:00:00,Water Ride,25.962318,Validation
2019-04-11 16:00:00,Water Ride,24.225605,Validation
2019-03-25 12:00:00,Water Ride,31.154812,Validation
2019-03-14 15:30:00,Flying Coaster,9.9737835,Validation
2020-07-26 15:00:00,Pirate Ship,36.22395,Validation
2019-05-20 13:30:00,Water Ride,23.03487,Validation
2018-11-27 13:30:00,Flying Coaster,12.866333,Validation
2020-02-07 15:15:00,Flying Coaster,8.432381,Validation
2022-01-02 17:45:00,Water Ride,26.359657,Validation
2022-07-09 19:00:00,Pirate Ship,24.830969,Validation
2022-05-14 16:15:00,Pirate Ship,48.00146,Validation
2018-11-16 14:45:00,Flying Coaster,32.39579,Validation
2022-01-08 13:15:00,Pirate Ship,35.440567,Validation
2019-05-25 12:00:00,Water Ride,24.811054,Validation
2022-04-26 14:15:00,Pirate Ship,43.061283,Validation
2020-09-15 11:15:00,Water Ride,5.335447,Validation
2022-01-08 19:45:00,Flying Coaster,14.6832485,Validation
2021-08-06 18:15:00,Water Ride,13.888689,Validation
2018-10-14 11:15:00,Pirate Ship,25.369398,Validation
2022-06-30 16:15:00,Water Ride,29.187765,Validation
2022-05-25 10:30:00,Flying Coaster,23.440544,Validation
2020-01-29 12:45:00,Water Ride,16.077625,Validation
2020-02-08 14:15:00,Flying Coaster,27.92674,Validation
2022-07-15 15:00:00,Water Ride,23.74851,Validation
2022-06-10 13:45:00,Flying Coaster,40.012875,Validation
2019-12-14 14:00:00,Pirate Ship,43.633144,Validation
2022-07-13 10:00:00,Flying Coaster,35.1629,Validation
2020-01-29 12:45:00,Flying Coaster,6.414948,Validation
2020-08-01 16:30:00,Water Ride,19.656157,Validation
2022-06-17 18:00:00,Water Ride,20.896612,Validation
2019-02-25 10:15:00,Flying Coaster,29.37356,Validation
2021-12-09 13:15:00,Pirate Ship,35.544643,Validation
2020-10-05 12:15:00,Pirate Ship,12.172387,Validation
