DATETIME,ENTITY_DESCRIPTION_SHORT,y_pred,KEY
2019-11-23 10:45:00,Water Ride,35.756023,Validation
2022-01-03 16:45:00,Pirate Ship,30.454807,Validation
2021-12-04 15:30:00,Pirate Ship,41.63889,Validation
2020-02-05 13:15:00,Water Ride,19.852682,Validation
2022-05-13 15:15:00,Flying Coaster,17.865984,Validation
2020-01-04 10:00:00,Pirate Ship,54.4348,Validation
2020-10-03 14:00:00,Water Ride,16.654333,Validation
2021-06-26 10:45:00,Flying Coaster,38.194736,Validation
2018-11-11 19:30:00,Flying Coaster,4.3056893,Validation
2018-10-10 14:15:00,Flying Coaster,22.346657,Validation
2019-04-22 19:15:00,Water Ride,10.681203,Validation
2019-07-03 11:45:00,Water Ride,21.658154,Validation
2020-10-07 13:45:00,Flying Coaster,2.5821762,Validation
2022-07-17 12:30:00,Water Ride,23.00067,Validation
2022-05-05 16:45:00,Pirate Ship,41.388042,Validation
2020-03-08 12:45:00,Water Ride,26.888039,Validation
2018-10-06 16:30:00,Pirate Ship,45.1404,Validation
2022-06-05 15:00:00,Flying Coaster,32.305973,Validation
2019-09-29 17:15:00,Flying Coaster,2.1935475,Validation
2019-09-06 18:30:00,Flying Coaster,3.198891,Validation
2021-06-20 09:45:00,Water Ride,13.866163,Validation
2022-03-01 10:15:00,Pirate Ship,36.901886,Validation
2019-09-29 10:30:00,Flying Coaster,33.264553,Validation
2022-05-05 16:45:00,Flying Coaster,14.393357,Validation
2019-01-21 11:00:00,Flying Coaster,22.928568,Validation
2020-02-26 13:45:00,Water Ride,34.25746,Validation
2019-03-22 17:15:00,Water Ride,16.024057,Validation
2022-07-17 19:45:00,Pirate Ship,26.921423,Validation
2021-09-07 10:15:00,Flying Coaster,8.865159,Validation
2021-11-01 13:15:00,Flying Coaster,29.134695,Validation
2022-05-02 19:15:00,Flying Coaster,6.353122,Validation
2021-09-15 16:00:00,Flying Coaster,5.145049,Validation
2021-07-15 11:30:00,Pirate Ship,22.24882,Validation
2020-02-29 17:15:00,Water Ride,22.427805,Validation
2021-11-22 12:00:00,Flying Coaster,7.487709,Validation
2019-03-18 17:30:00,Flying Coaster,9.320424,Validation
2021-08-22 18:30:00,Flying Coaster,5.0741053,Validation
2019-08-31 20:45:00,Flying Coaster,4.859725,Validation
2019-12-31 15:30:00,Pirate Ship,32.73875,Validation
2020-08-17 12:45:00,Water Ride,19.680197,Validation
2021-08-20 16:00:00,Flying Coaster,11.976266,Validation
2021-09-05 14:45:00,Water Ride,20.268627,Validation
2020-08-02 18:00:00,Pirate Ship,19.210985,Validation
2019-12-24 14:15:00,Water Ride,46.208763,Validation
2020-02-26 16:15:00,Pirate Ship,34.439846,Validation
2020-01-14 15:45:00,Pirate Ship,24.656273,Validation
2021-08-16 14:30:00,Pirate Ship,30.73347,Validation
2018-10-07 11:30:00,Flying Coaster,31.855131,Validation
2019-12-18 11:15:00,Pirate Ship,31.122936,Validation
2022-02-23 13:15:00,Pirate Ship,33.22876,Validation
2021-08-20 10:45:00,Flying Coaster,14.711706,Validation
2021-11-10 13:45:00,Flying Coaster,12.628254,Validation
2019-05-27 14:15:00,Water Ride,22.89507,Validation
2022-03-18 13:30:00,Pirate Ship,28.132925,Validation
2022-03-30 16:30:00,Pirate Ship,49.93879,Validation
2022-05-14 10:15:00,Flying Coaster,31.31885,Validation
2022-07-23 20:00:00,Flying Coaster,7.251184,Validation
2021-07-01 17:45:00,Flying Coaster,18.134546,Validation
2020-03-01 11:15:00,Water Ride,32.06564,Validation
2021-11-04 12:45:00,Water Ride,29.847685,Validation
2021-09-17 09:45:00,Pirate Ship,22.742329,Validation
2021-12-01 17:00:00,Flying Coaster,8.713682,Validation
2021-12-30 14:00:00,Water Ride,39.21522,Validation
2019-07-29 16:15:00,Water Ride,21.007177,Validation
2021-10-30 16:45:00,Pirate Ship,30.923113,Validation
2022-03-11 16:30:00,Flying Coaster,-2.4617364,Validation
2020-09-20 13:30:00,Flying Coaster,23.453897,Validation
2022-02-21 09:15:00,Pirate Ship,35.731358,Validation
2022-01-30 15:45:00,Pirate Ship,28.359661,Validation
2021-12-15 09:30:00,Pirate Ship,31.898575,Validation
2021-08-01 18:15:00,Pirate Ship,25.713844,Validation
2021-07-26 15:15:00,Flying Coaster,14.713756,Validation
2019-10-17 12:45:00,Flying Coaster,16.096521,Validation
2020-07-20 14:30:00,Water Ride,17.56893,Validation
2021-09-14 15:30:00,Water Ride,12.737661,Validation
2020-01-07 13:00:00,Flying Coaster,23.862473,Validation
2021-10-05 14:15:00,Pirate Ship,15.367665,Validation
2022-08-01 11:00:00,Pirate Ship,38.00688,Validation
2021-08-27 16:30:00,Water Ride,26.483044,Validation
2021-12-08 15:45:00,Water Ride,28.814098,Validation
2019-02-05 15:00:00,Flying Coaster,15.043506,Validation
2018-12-06 15:45:00,Flying Coaster,7.399212,Validation
2022-06-24 16:15:00,Water Ride,35.630028,Validation
2019-10-08 16:30:00,Flying Coaster,5.038308,Validation
2021-10-10 18:15:00,Water Ride,6.428505,Validation
2021-08-22 18:30:00,Water Ride,15.717472,Validation
2020-02-09 16:30:00,Water Ride,18.860023,Validation
2022-06-24 19:30:00,Flying Coaster,9.913642,Validation
2022-01-09 18:00:00,Pirate Ship,14.136793,Validation
2022-03-18 17:00:00,Flying Coaster,5.7277737,Validation
2021-08-23 14:15:00,Flying Coaster,22.655678,Validation
2022-05-28 14:30:00,Flying Coaster,35.922585,Validation
2018-10-21 18:00:00,Flying Coaster,42.7604,Validation
2021-10-26 13:00:00,Pirate Ship,30.158512,Validation
2021-12-01 10:45:00,Pirate Ship,33.953888,Validation
2021-12-19 10:30:00,Pirate Ship,27.468384,Validation
2020-08-04 13:15:00,Water Ride,24.148228,Validation
2021-10-18 14:00:00,Flying Coaster,37.50159,Validation
2022-08-16 20:45:00,Flying Coaster,4.7678075,Validation
2019-04-02 10:15:00,Water Ride,18.405256,Validation
2019-01-27 11:45:00,Water Ride,23.440083,Validation
2020-10-17 12:30:00,Pirate Ship,26.505178,Validation
2022-06-04 17:30:00,Flying Coaster,18.570414,Validation
2020-02-11 16:15:00,Flying Coaster,5.9423447,Validation
2019-11-04 15:30:00,Flying Coaster,3.295026,Validation
2019-01-28 12:30:00,Flying Coaster,17.463675,Validation
2022-05-25 15:45:00,Flying Coaster,18.612469,Validation
2019-05-16 10:00:00,Water Ride,16.240044,Validation
2020-08-14 12:15:00,Pirate Ship,38.60741,Validation
2022-03-03 15:45:00,Pirate Ship,32.03653,Validation
2019-10-13 17:15:00,Water Ride,31.152008,Validation
2020-08-06 09:30:00,Flying Coaster,24.749218,Validation
2021-10-16 15:00:00,Pirate Ship,33.874462,Validation
2018-10-06 12:30:00,Water Ride,25.192417,Validation
2021-12-08 11:45:00,Flying Coaster,26.988997,Validation
2022-06-07 14:00:00,Flying Coaster,40.622517,Validation
2022-03-27 14:30:00,Water Ride,38.81133,Validation
2021-10-11 14:45:00,Pirate Ship,30.1819,Validation
2020-02-24 16:00:00,Pirate Ship,47.142113,Validation
2018-12-12 13:30:00,Flying Coaster,12.203592,Validation
2019-10-14 11:15:00,Flying Coaster,25.968815,Validation
2021-08-19 18:45:00,Pirate Ship,29.281754,Validation
2021-10-12 16:15:00,Water Ride,27.88149,Validation
2019-03-07 15:00:00,Flying Coaster,24.81709,Validation
2021-10-15 14:00:00,Flying Coaster,19.795902,Validation
2019-10-13 13:00:00,Water Ride,29.42976,Validation
2021-09-14 13:15:00,Water Ride,18.162117,Validation
2018-12-11 16:00:00,Flying Coaster,13.662189,Validation
2019-04-09 17:15:00,Flying Coaster,11.607747,Validation
2019-07-30 18:00:00,Water Ride,17.323275,Validation
2022-04-14 10:45:00,Pirate Ship,40.439644,Validation
2021-08-25 10:30:00,Water Ride,29.986162,Validation
2022-05-03 13:30:00,Water Ride,34.08587,Validation
2019-02-15 11:15:00,Flying Coaster,32.607586,Validation
2022-06-24 14:00:00,Water Ride,36.456017,Validation
2019-04-11 16:00:00,Water Ride,25.90225,Validation
2019-03-25 12:00:00,Water Ride,40.226803,Validation
2019-03-14 15:30:00,Flying Coaster,1.5746024,Validation
2020-07-26 15:00:00,Pirate Ship,28.474249,Validation
2019-05-20 13:30:00,Water Ride,21.956284,Validation
2018-11-27 13:30:00,Flying Coaster,18.58384,Validation
2020-02-07 15:15:00,Flying Coaster,15.315585,Validation
2022-01-02 17:45:00,Water Ride,21.908321,Validation
2022-07-09 19:00:00,Pirate Ship,29.30648,Validation
2022-05-14 16:15:00,Pirate Ship,40.91969,Validation
2018-11-16 14:45:00,Flying Coaster,20.338137,Validation
2022-01-08 13:15:00,Pirate Ship,35.538773,Validation
2019-05-25 12:00:00,Water Ride,32.99424,Validation
2022-04-26 14:15:00,Pirate Ship,55.338657,Validation
2020-09-15 11:15:00,Water Ride,7.637045,Validation
2022-01-08 19:45:00,Flying Coaster,11.707801,Validation
2021-08-06 18:15:00,Water Ride,18.609482,Validation
2018-10-14 11:15:00,Pirate Ship,38.950287,Validation
2022-06-30 16:15:00,Water Ride,30.800987,Validation
2022-05-25 10:30:00,Flying Coaster,29.919947,Validation
2020-01-29 12:45:00,Water Ride,20.13345,Validation
2020-02-08 14:15:00,Flying Coaster,30.27817,Validation
2022-07-15 15:00:00,Water Ride,33.970833,Validation
2022-06-10 13:45:00,Flying Coaster,43.9742,Validation
2019-12-14 14:00:00,Pirate Ship,41.423573,Validation
2022-07-13 10:00:00,Flying Coaster,39.659107,Validation
2020-01-29 12:45:00,Flying Coaster,8.455879,Validation
2020-08-01 16:30:00,Water Ride,15.51101,Validation
2022-06-17 18:00:00,Water Ride,25.526688,Validation
2019-02-25 10:15:00,Flying Coaster,24.173588,Validation
2021-12-09 13:15:00,Pirate Ship,37.346424,Validation
2020-10-05 12:15:00,Pirate Ship,7.5881395,Validation
2021-09-04 17:45:00,Flying Coaster,9.38761,Validation
2020-01-06 16:00:00,Pirate Ship,41.78081,Validation
2022-03-20 09:30:00,Water Ride,43.019287,Validation
2019-08-04 14:45:00,Flying Coaster,22.026531,Validation
2019-04-17 17:15:00,Flying Coaster,29.190327,Validation
2019-01-02 17:15:00,Flying Coaster,34.772995,Validation
2019-06-09 14:15:00,Water Ride,32.122246,Validation
2022-04-23 20:15:00,Flying Coaster,7.0076385,Validation
2019-11-16 10:45:00,Flying Coaster,44.062004,Validation
2019-09-14 11:15:00,Water Ride,27.993254,Validation
2022-05-18 13:00:00,Water Ride,28.455952,Validation
2019-07-20 11:30:00,Flying Coaster,27.2723,Validation
2019-01-05 13:30:00,Water Ride,42.62416,Validation
2021-11-06 17:15:00,Pirate Ship,26.41582,Validation
2022-04-12 14:45:00,Water Ride,36.98939,Validation
2021-09-25 16:30:00,Flying Coaster,39.364956,Validation
2019-09-09 15:30:00,Flying Coaster,11.724906,Validation
2020-03-03 17:15:00,Pirate Ship,16.238949,Validation
2022-04-26 17:00:00,Water Ride,33.52021,Validation
2022-01-04 13:30:00,Pirate Ship,34.085743,Validation
2021-07-30 12:30:00,Pirate Ship,33.193386,Validation
2020-07-27 14:15:00,Pirate Ship,20.19189,Validation
2022-04-19 12:15:00,Pirate Ship,51.131813,Validation
2022-06-07 18:45:00,Water Ride,28.394379,Validation
2020-03-02 16:15:00,Water Ride,16.51871,Validation
2018-12-01 11:00:00,Flying Coaster,38.629448,Validation
2021-09-19 17:15:00,Water Ride,16.850592,Validation
2019-08-16 20:00:00,Flying Coaster,7.8668685,Validation
2019-08-07 13:00:00,Water Ride,37.016594,Validation
2020-09-11 14:30:00,Pirate Ship,16.70899,Validation
2019-03-23 10:00:00,Water Ride,38.658978,Validation
2021-11-18 19:00:00,Water Ride,1.8254641,Validation
2022-05-14 16:15:00,Flying Coaster,19.514341,Validation
2020-08-05 13:30:00,Flying Coaster,31.98523,Validation
2022-03-05 18:30:00,Pirate Ship,14.427027,Validation
2021-07-01 09:45:00,Pirate Ship,20.396181,Validation
2022-06-09 17:15:00,Flying Coaster,22.978941,Validation
2022-05-02 19:15:00,Pirate Ship,28.95026,Validation
2019-03-02 15:45:00,Flying Coaster,28.569208,Validation
2019-09-04 12:00:00,Flying Coaster,28.448605,Validation
2022-02-22 14:30:00,Water Ride,27.340216,Validation
2020-08-05 11:15:00,Flying Coaster,30.716837,Validation
2022-06-17 18:00:00,Flying Coaster,10.7708025,Validation
2022-04-28 13:15:00,Water Ride,30.230968,Validation
2022-04-21 18:00:00,Flying Coaster,6.0035076,Validation
2019-08-07 13:00:00,Flying Coaster,42.66854,Validation
2021-08-06 11:45:00,Pirate Ship,19.756151,Validation
2022-06-17 14:15:00,Pirate Ship,35.687225,Validation
2021-06-23 14:00:00,Flying Coaster,32.073574,Validation
2018-10-04 13:15:00,Pirate Ship,36.927597,Validation
2019-10-06 11:00:00,Water Ride,25.264126,Validation
2019-08-18 13:30:00,Water Ride,26.501186,Validation
2020-10-27 14:00:00,Flying Coaster,26.803345,Validation
2021-07-25 16:00:00,Flying Coaster,2.177788,Validation
2019-04-23 10:45:00,Water Ride,41.79483,Validation
2019-06-24 13:15:00,Flying Coaster,55.08051,Validation
2021-10-19 13:15:00,Water Ride,37.254116,Validation
2020-09-10 13:15:00,Pirate Ship,16.83321,Validation
2020-02-26 18:15:00,Pirate Ship,4.7840476,Validation
2022-04-15 11:00:00,Water Ride,36.3605,Validation
2021-10-07 15:15:00,Water Ride,18.742752,Validation
2019-02-04 13:45:00,Water Ride,13.8174095,Validation
2020-02-13 15:15:00,Flying Coaster,6.5999765,Validation
2018-10-07 11:30:00,Water Ride,27.677006,Validation
2022-01-19 09:15:00,Pirate Ship,31.781355,Validation
2022-02-01 12:30:00,Water Ride,12.696058,Validation
2020-07-15 10:00:00,Water Ride,12.759768,Validation
2020-08-19 10:15:00,Flying Coaster,24.601591,Validation
2022-05-06 13:45:00,Pirate Ship,45.536148,Validation
2019-07-29 16:15:00,Flying Coaster,23.085182,Validation
2022-07-13 10:00:00,Pirate Ship,36.840324,Validation
2021-06-17 15:15:00,Pirate Ship,15.173098,Validation
2020-09-13 13:15:00,Pirate Ship,35.47385,Validation
2018-12-26 09:30:00,Water Ride,41.8346,Validation
2020-08-08 15:15:00,Pirate Ship,38.318424,Validation
2019-11-25 12:15:00,Water Ride,16.330746,Validation
2020-07-16 15:45:00,Water Ride,14.925609,Validation
2021-11-21 12:45:00,Flying Coaster,26.330362,Validation
2020-02-23 17:15:00,Flying Coaster,5.9936633,Validation
2022-07-27 15:15:00,Water Ride,25.90947,Validation
2020-10-04 11:45:00,Pirate Ship,16.922853,Validation
2022-06-11 10:30:00,Flying Coaster,38.75798,Validation
2021-07-30 17:45:00,Pirate Ship,22.057264,Validation
2021-09-05 12:00:00,Water Ride,25.29474,Validation
2019-01-12 10:00:00,Water Ride,27.81089,Validation
2020-07-29 13:30:00,Flying Coaster,34.471046,Validation
2019-03-20 17:15:00,Flying Coaster,25.339594,Validation
2022-08-13 13:45:00,Pirate Ship,36.285587,Validation
2019-12-19 15:30:00,Pirate Ship,27.639452,Validation
2019-07-18 15:30:00,Water Ride,18.082727,Validation
2022-08-03 13:45:00,Water Ride,28.828087,Validation
2022-03-25 13:30:00,Pirate Ship,35.383404,Validation
2020-01-05 13:15:00,Water Ride,37.842888,Validation
2022-06-17 20:30:00,Flying Coaster,5.852212,Validation
2019-12-29 18:30:00,Pirate Ship,29.919302,Validation
2019-09-05 11:30:00,Flying Coaster,21.236235,Validation
2020-10-24 10:15:00,Flying Coaster,37.770046,Validation
2019-02-20 15:30:00,Flying Coaster,19.706942,Validation
2019-06-21 12:00:00,Water Ride,27.547308,Validation
2022-04-09 17:15:00,Flying Coaster,9.056044,Validation
2022-05-29 10:15:00,Water Ride,30.457659,Validation
2022-05-23 15:15:00,Flying Coaster,10.246734,Validation
2022-02-19 11:30:00,Flying Coaster,39.728146,Validation
2022-05-14 18:45:00,Water Ride,30.939621,Validation
2022-05-04 18:45:00,Pirate Ship,34.657524,Validation
2022-07-20 16:15:00,Pirate Ship,39.087574,Validation
2022-04-20 20:30:00,Flying Coaster,6.9227643,Validation
2019-09-13 13:00:00,Water Ride,21.728025,Validation
2021-06-27 16:00:00,Flying Coaster,22.039673,Validation
2021-12-28 14:30:00,Flying Coaster,31.312925,Validation
2022-02-15 17:00:00,Flying Coaster,9.424618,Validation
