DATETIME,ENTITY_DESCRIPTION_SHORT,y_pred,KEY
2019-11-23 10:45:00,Water Ride,30.98,Validation
2022-01-03 16:45:00,Pirate Ship,34.955,Validation
2021-12-04 15:30:00,Pirate Ship,34.405,Validation
2020-02-05 13:15:00,Water Ride,20.525,Validation
2022-05-13 15:15:00,Flying Coaster,19.92,Validation
2020-01-04 10:00:00,Pirate Ship,45.215,Validation
2020-10-03 14:00:00,Water Ride,19.915,Validation
2021-06-26 10:45:00,Flying Coaster,28.895,Validation
2018-11-11 19:30:00,Flying Coaster,4.39,Validation
2018-10-10 14:15:00,Flying Coaster,25.495,Validation
2019-04-22 19:15:00,Water Ride,10.87,Validation
2019-07-03 11:45:00,Water Ride,23.155,Validation
2020-10-07 13:45:00,Flying Coaster,8.415,Validation
2022-07-17 12:30:00,Water Ride,29.48,Validation
2022-05-05 16:45:00,Pirate Ship,33.6,Validation
2020-03-08 12:45:00,Water Ride,29.21,Validation
2018-10-06 16:30:00,Pirate Ship,43.295,Validation
2022-06-05 15:00:00,Flying Coaster,28.075,Validation
2019-09-29 17:15:00,Flying Coaster,9.84,Validation
2019-09-06 18:30:00,Flying Coaster,11.255,Validation
2021-06-20 09:45:00,Water Ride,17.28,Validation
2022-03-01 10:15:00,Pirate Ship,31.055,Validation
2019-09-29 10:30:00,Flying Coaster,31.025,Validation
2022-05-05 16:45:00,Flying Coaster,16.65,Validation
2019-01-21 11:00:00,Flying Coaster,24.225,Validation
2020-02-26 13:45:00,Water Ride,31.335,Validation
2019-03-22 17:15:00,Water Ride,12.75,Validation
2022-07-17 19:45:00,Pirate Ship,18.565,Validation
2021-09-07 10:15:00,Flying Coaster,12.325,Validation
2021-11-01 13:15:00,Flying Coaster,32.87,Validation
2022-05-02 19:15:00,Flying Coaster,6.265,Validation
2021-09-15 16:00:00,Flying Coaster,12.59,Validation
2021-07-15 11:30:00,Pirate Ship,26.385,Validation
2020-02-29 17:15:00,Water Ride,17.78,Validation
2021-11-22 12:00:00,Flying Coaster,14.725,Validation
2019-03-18 17:30:00,Flying Coaster,10.745,Validation
2021-08-22 18:30:00,Flying Coaster,6.09,Validation
2019-08-31 20:45:00,Flying Coaster,13.29,Validation
2019-12-31 15:30:00,Pirate Ship,27.03,Validation
2020-08-17 12:45:00,Water Ride,20.5,Validation
2021-08-20 16:00:00,Flying Coaster,16.205,Validation
2021-09-05 14:45:00,Water Ride,25.075,Validation
2020-08-02 18:00:00,Pirate Ship,14.005,Validation
2019-12-24 14:15:00,Water Ride,27.98,Validation
2020-02-26 16:15:00,Pirate Ship,30.385,Validation
2020-01-14 15:45:00,Pirate Ship,26.165,Validation
2021-08-16 14:30:00,Pirate Ship,29.945,Validation
2018-10-07 11:30:00,Flying Coaster,30.65,Validation
2019-12-18 11:15:00,Pirate Ship,33.335,Validation
2022-02-23 13:15:00,Pirate Ship,30.59,Validation
2021-08-20 10:45:00,Flying Coaster,17.535,Validation
2021-11-10 13:45:00,Flying Coaster,17.055,Validation
2019-05-27 14:15:00,Water Ride,24.085,Validation
2022-03-18 13:30:00,Pirate Ship,39.695,Validation
2022-03-30 16:30:00,Pirate Ship,34.225,Validation
2022-05-14 10:15:00,Flying Coaster,32.015,Validation
2022-07-23 20:00:00,Flying Coaster,5.305,Validation
2021-07-01 17:45:00,Flying Coaster,21.72,Validation
2020-03-01 11:15:00,Water Ride,31.905,Validation
2021-11-04 12:45:00,Water Ride,22.8,Validation
2021-09-17 09:45:00,Pirate Ship,19.46,Validation
2021-12-01 17:00:00,Flying Coaster,8.755,Validation
2021-12-30 14:00:00,Water Ride,39.085,Validation
2019-07-29 16:15:00,Water Ride,28.64,Validation
2021-10-30 16:45:00,Pirate Ship,32.165,Validation
2022-03-11 16:30:00,Flying Coaster,7.42,Validation
2020-09-20 13:30:00,Flying Coaster,23.305,Validation
2022-02-21 09:15:00,Pirate Ship,31.82,Validation
2022-01-30 15:45:00,Pirate Ship,26.025,Validation
2021-12-15 09:30:00,Pirate Ship,30.73,Validation
2021-08-01 18:15:00,Pirate Ship,19.705,Validation
2021-07-26 15:15:00,Flying Coaster,12.115,Validation
2019-10-17 12:45:00,Flying Coaster,16.33,Validation
2020-07-20 14:30:00,Water Ride,24.68,Validation
2021-09-14 15:30:00,Water Ride,24.06,Validation
2020-01-07 13:00:00,Flying Coaster,23.805,Validation
2021-10-05 14:15:00,Pirate Ship,16.7,Validation
2022-08-01 11:00:00,Pirate Ship,31.71,Validation
2021-08-27 16:30:00,Water Ride,28.83,Validation
2021-12-08 15:45:00,Water Ride,31.425,Validation
2019-02-05 15:00:00,Flying Coaster,13.975,Validation
2018-12-06 15:45:00,Flying Coaster,11.035,Validation
2022-06-24 16:15:00,Water Ride,30.335,Validation
2019-10-08 16:30:00,Flying Coaster,8.505,Validation
2021-10-10 18:15:00,Water Ride,10.19,Validation
2021-08-22 18:30:00,Water Ride,19.57,Validation
2020-02-09 16:30:00,Water Ride,23.635,Validation
2022-06-24 19:30:00,Flying Coaster,6.555,Validation
2022-01-09 18:00:00,Pirate Ship,14.36,Validation
2022-03-18 17:00:00,Flying Coaster,16.615,Validation
2021-08-23 14:15:00,Flying Coaster,23.76,Validation
2022-05-28 14:30:00,Flying Coaster,40.57,Validation
2018-10-21 18:00:00,Flying Coaster,17.815,Validation
2021-10-26 13:00:00,Pirate Ship,29.82,Validation
2021-12-01 10:45:00,Pirate Ship,30.115,Validation
2021-12-19 10:30:00,Pirate Ship,32.22,Validation
2020-08-04 13:15:00,Water Ride,20.8,Validation
2021-10-18 14:00:00,Flying Coaster,28.165,Validation
2022-08-16 20:45:00,Flying Coaster,5.89,Validation
2019-04-02 10:15:00,Water Ride,22.065,Validation
2019-01-27 11:45:00,Water Ride,31.985,Validation
2020-10-17 12:30:00,Pirate Ship,30.11,Validation
2022-06-04 17:30:00,Flying Coaster,17.29,Validation
2020-02-11 16:15:00,Flying Coaster,12.195,Validation
2019-11-04 15:30:00,Flying Coaster,6.955,Validation
2019-01-28 12:30:00,Flying Coaster,8.66,Validation
2022-05-25 15:45:00,Flying Coaster,16.88,Validation
2019-05-16 10:00:00,Water Ride,15.8,Validation
2020-08-14 12:15:00,Pirate Ship,32.755,Validation
2022-03-03 15:45:00,Pirate Ship,32.98,Validation
2019-10-13 17:15:00,Water Ride,27.34,Validation
2020-08-06 09:30:00,Flying Coaster,21.26,Validation
2021-10-16 15:00:00,Pirate Ship,28.365,Validation
2018-10-06 12:30:00,Water Ride,37.98,Validation
2021-12-08 11:45:00,Flying Coaster,24.09,Validation
2022-06-07 14:00:00,Flying Coaster,37.595,Validation
2022-03-27 14:30:00,Water Ride,37.93,Validation
2021-10-11 14:45:00,Pirate Ship,24.3,Validation
2020-02-24 16:00:00,Pirate Ship,39.875,Validation
2018-12-12 13:30:00,Flying Coaster,19.55,Validation
2019-10-14 11:15:00,Flying Coaster,22.05,Validation
2021-08-19 18:45:00,Pirate Ship,24.095,Validation
2021-10-12 16:15:00,Water Ride,30.54,Validation
2019-03-07 15:00:00,Flying Coaster,25.29,Validation
2021-10-15 14:00:00,Flying Coaster,15.605,Validation
2019-10-13 13:00:00,Water Ride,27.965,Validation
2021-09-14 13:15:00,Water Ride,18.905,Validation
2018-12-11 16:00:00,Flying Coaster,14.44,Validation
2019-04-09 17:15:00,Flying Coaster,18.685,Validation
2019-07-30 18:00:00,Water Ride,16.975,Validation
2022-04-14 10:45:00,Pirate Ship,41.92,Validation
2021-08-25 10:30:00,Water Ride,28.485,Validation
2022-05-03 13:30:00,Water Ride,37.6,Validation
2019-02-15 11:15:00,Flying Coaster,28.885,Validation
2022-06-24 14:00:00,Water Ride,30.13,Validation
2019-04-11 16:00:00,Water Ride,23.935,Validation
2019-03-25 12:00:00,Water Ride,33.44,Validation
2019-03-14 15:30:00,Flying Coaster,9.585,Validation
2020-07-26 15:00:00,Pirate Ship,27.045,Validation
2019-05-20 13:30:00,Water Ride,24.0,Validation
2018-11-27 13:30:00,Flying Coaster,18.825,Validation
2020-02-07 15:15:00,Flying Coaster,11.93,Validation
2022-01-02 17:45:00,Water Ride,23.62,Validation
2022-07-09 19:00:00,Pirate Ship,20.045,Validation
2022-05-14 16:15:00,Pirate Ship,38.53,Validation
2018-11-16 14:45:00,Flying Coaster,23.68,Validation
2022-01-08 13:15:00,Pirate Ship,30.88,Validation
2019-05-25 12:00:00,Water Ride,30.69,Validation
2022-04-26 14:15:00,Pirate Ship,48.35,Validation
2020-09-15 11:15:00,Water Ride,8.69,Validation
2022-01-08 19:45:00,Flying Coaster,10.64,Validation
2021-08-06 18:15:00,Water Ride,19.975,Validation
2018-10-14 11:15:00,Pirate Ship,32.145,Validation
2022-06-30 16:15:00,Water Ride,30.33,Validation
2022-05-25 10:30:00,Flying Coaster,34.7,Validation
2020-01-29 12:45:00,Water Ride,19.44,Validation
2020-02-08 14:15:00,Flying Coaster,30.62,Validation
