DATETIME,ENTITY_DESCRIPTION_SHORT,y_pred,KEY
2022-07-09 14:45:00,Water Ride,22.466666666666665,Validation
2018-12-07 19:30:00,Water Ride,5.583333333333333,Validation
2022-07-02 10:15:00,Pirate Ship,32.81666666666667,Validation
2019-05-19 16:15:00,Water Ride,17.0,Validation
2022-06-16 11:30:00,Pirate Ship,35.25,Validation
2019-01-22 15:00:00,Water Ride,15.616666666666667,Validation
2020-09-26 16:00:00,Pirate Ship,35.0,Validation
2019-07-02 13:45:00,Water Ride,25.533333333333335,Validation
2019-07-28 09:00:00,Water Ride,17.9,Validation
2018-12-28 17:30:00,Flying Coaster,22.716666666666665,Validation
2022-08-11 20:15:00,Water Ride,19.216666666666665,Validation
2019-05-12 17:45:00,Water Ride,18.233333333333334,Validation
2018-12-18 10:15:00,Flying Coaster,23.05,Validation
2018-10-27 18:15:00,Flying Coaster,8.75,Validation
2019-09-12 10:00:00,Flying Coaster,14.516666666666667,Validation
2022-05-05 10:00:00,Pirate Ship,39.31666666666667,Validation
2019-01-13 15:15:00,Water Ride,24.1,Validation
2022-02-14 17:30:00,Flying Coaster,5.683333333333334,Validation
2019-10-20 10:15:00,Flying Coaster,31.55,Validation
2021-12-16 12:45:00,Flying Coaster,25.166666666666668,Validation
2022-04-15 20:15:00,Pirate Ship,29.083333333333332,Validation
2019-01-25 13:15:00,Water Ride,13.1,Validation
2021-08-07 14:00:00,Flying Coaster,7.416666666666667,Validation
2021-07-28 17:00:00,Water Ride,26.883333333333333,Validation
2021-11-16 15:00:00,Pirate Ship,15.416666666666666,Validation
2021-09-14 18:00:00,Pirate Ship,1.9166666666666667,Validation
2022-04-10 19:45:00,Pirate Ship,30.55,Validation
2022-05-26 19:00:00,Water Ride,28.716666666666665,Validation
2019-09-25 12:00:00,Water Ride,11.333333333333334,Validation
2019-05-20 16:30:00,Water Ride,13.383333333333333,Validation
2018-10-17 10:00:00,Water Ride,23.55,Validation
2019-06-22 17:30:00,Water Ride,24.716666666666665,Validation
2019-01-07 12:00:00,Water Ride,18.15,Validation
2019-05-01 14:15:00,Flying Coaster,38.833333333333336,Validation
2022-01-06 11:15:00,Water Ride,38.55,Validation
2020-09-14 14:45:00,Pirate Ship,10.65,Validation
2020-10-24 12:15:00,Water Ride,30.566666666666666,Validation
2020-01-03 13:30:00,Water Ride,43.833333333333336,Validation
2019-01-31 16:45:00,Flying Coaster,6.9,Validation
2022-07-16 09:30:00,Water Ride,30.35,Validation
2022-03-23 12:30:00,Water Ride,34.81666666666667,Validation
2019-11-10 18:15:00,Flying Coaster,14.183333333333334,Validation
2019-04-13 09:45:00,Flying Coaster,29.883333333333333,Validation
2022-05-20 20:15:00,Flying Coaster,5.366666666666666,Validation
2021-07-11 12:30:00,Pirate Ship,27.283333333333335,Validation
2022-01-30 12:45:00,Pirate Ship,36.1,Validation
2022-02-22 10:00:00,Flying Coaster,23.633333333333333,Validation
2018-11-06 10:45:00,Flying Coaster,8.35,Validation
2021-11-05 17:15:00,Pirate Ship,27.05,Validation
2021-08-07 11:15:00,Water Ride,21.333333333333332,Validation
2019-08-19 11:00:00,Water Ride,30.383333333333333,Validation
2018-11-18 10:15:00,Water Ride,30.433333333333334,Validation
2022-05-24 17:15:00,Water Ride,32.88333333333333,Validation
2022-07-01 15:00:00,Pirate Ship,33.416666666666664,Validation
2020-10-24 15:00:00,Water Ride,25.2,Validation
2020-09-02 09:45:00,Water Ride,21.45,Validation
2019-01-11 15:30:00,Flying Coaster,7.866666666666666,Validation
2019-09-07 14:15:00,Water Ride,40.53333333333333,Validation
2021-11-24 15:30:00,Pirate Ship,27.7,Validation
2019-07-23 14:30:00,Water Ride,24.25,Validation
2021-07-15 13:30:00,Flying Coaster,19.483333333333334,Validation
2020-02-16 13:15:00,Flying Coaster,36.233333333333334,Validation
2019-05-14 12:00:00,Flying Coaster,22.083333333333332,Validation
2020-09-09 10:45:00,Water Ride,17.033333333333335,Validation
2021-10-30 14:00:00,Flying Coaster,37.1,Validation
2019-08-30 13:30:00,Flying Coaster,36.0,Validation
2019-06-22 17:15:00,Water Ride,24.466666666666665,Validation
2018-12-18 14:30:00,Flying Coaster,22.683333333333334,Validation
2019-08-05 15:00:00,Water Ride,31.3,Validation
2018-10-25 12:30:00,Pirate Ship,51.13333333333333,Validation
2020-07-30 13:45:00,Pirate Ship,23.15,Validation
2020-07-14 18:45:00,Flying Coaster,4.333333333333333,Validation
2021-09-10 12:00:00,Water Ride,17.316666666666666,Validation
2022-04-10 18:15:00,Flying Coaster,6.033333333333333,Validation
2022-05-26 20:00:00,Water Ride,24.566666666666666,Validation
2020-01-28 09:45:00,Flying Coaster,8.933333333333334,Validation
2020-07-16 10:30:00,Water Ride,18.533333333333335,Validation
2022-01-09 09:45:00,Flying Coaster,35.016666666666666,Validation
2019-02-17 11:00:00,Flying Coaster,47.25,Validation
2022-07-06 16:15:00,Pirate Ship,38.083333333333336,Validation
2021-08-22 16:00:00,Water Ride,29.183333333333334,Validation
2022-05-17 17:00:00,Pirate Ship,31.116666666666667,Validation
2019-03-10 11:15:00,Water Ride,26.733333333333334,Validation
2020-03-10 15:15:00,Pirate Ship,51.45,Validation
2022-04-19 18:15:00,Water Ride,32.666666666666664,Validation
2022-07-02 20:15:00,Pirate Ship,28.116666666666667,Validation
2020-10-12 14:45:00,Water Ride,14.383333333333333,Validation
2021-08-21 10:15:00,Water Ride,25.983333333333334,Validation
2020-02-07 09:45:00,Flying Coaster,16.4,Validation
2019-06-05 16:30:00,Water Ride,15.533333333333333,Validation
2019-04-26 11:45:00,Flying Coaster,41.31666666666667,Validation
2018-10-15 17:30:00,Pirate Ship,39.18333333333333,Validation
2020-09-30 12:30:00,Water Ride,11.016666666666667,Validation
2019-06-19 18:15:00,Water Ride,15.516666666666667,Validation
2019-04-01 18:45:00,Flying Coaster,12.466666666666667,Validation
2022-04-18 20:30:00,Flying Coaster,5.45,Validation
2019-01-22 15:30:00,Water Ride,8.9,Validation
2019-08-02 10:15:00,Water Ride,28.116666666666667,Validation
2019-09-19 16:15:00,Flying Coaster,9.066666666666666,Validation
2022-08-16 13:15:00,Flying Coaster,30.35,Validation
2022-04-07 20:00:00,Flying Coaster,5.583333333333333,Validation
2018-10-05 16:45:00,Pirate Ship,47.15,Validation
2019-06-07 14:15:00,Water Ride,25.333333333333332,Validation
2019-04-07 20:00:00,Flying Coaster,2.1,Validation
2019-11-26 16:00:00,Flying Coaster,6.483333333333333,Validation
2021-07-05 19:00:00,Water Ride,2.05,Validation
2019-02-12 11:15:00,Flying Coaster,16.65,Validation
2022-06-13 09:30:00,Flying Coaster,31.716666666666665,Validation
2018-12-26 15:45:00,Water Ride,40.55,Validation
2022-06-05 10:15:00,Water Ride,36.96666666666667,Validation
2018-10-18 15:30:00,Flying Coaster,12.416666666666666,Validation
2018-12-08 16:30:00,Water Ride,35.983333333333334,Validation
2022-06-22 15:30:00,Pirate Ship,23.55,Validation
2019-11-10 19:00:00,Flying Coaster,5.383333333333334,Validation
2019-10-24 20:00:00,Flying Coaster,3.8,Validation
2022-04-20 17:45:00,Flying Coaster,19.383333333333333,Validation
2019-05-18 19:30:00,Flying Coaster,17.466666666666665,Validation
2019-04-10 10:00:00,Flying Coaster,25.766666666666666,Validation
2021-07-11 19:15:00,Flying Coaster,4.283333333333333,Validation
2022-05-02 15:15:00,Pirate Ship,28.733333333333334,Validation
2020-02-12 16:45:00,Flying Coaster,8.4,Validation
2021-09-08 11:15:00,Flying Coaster,9.6,Validation
2022-08-11 15:45:00,Flying Coaster,11.933333333333334,Validation
2021-07-03 10:45:00,Flying Coaster,32.36666666666667,Validation
2022-03-03 11:15:00,Flying Coaster,26.716666666666665,Validation
2019-07-18 10:15:00,Water Ride,21.216666666666665,Validation
2019-07-05 11:30:00,Water Ride,26.133333333333333,Validation
2019-06-16 16:30:00,Water Ride,11.716666666666667,Validation
2022-07-29 17:00:00,Pirate Ship,35.75,Validation
2019-11-09 13:30:00,Water Ride,39.333333333333336,Validation
2021-11-03 15:15:00,Pirate Ship,27.3,Validation
2019-11-29 12:15:00,Flying Coaster,10.516666666666667,Validation
2019-05-05 15:30:00,Flying Coaster,10.516666666666667,Validation
2019-11-13 11:30:00,Water Ride,20.833333333333332,Validation
2022-08-02 12:30:00,Water Ride,31.3,Validation
2019-12-23 11:00:00,Flying Coaster,25.65,Validation
2022-06-22 20:45:00,Pirate Ship,22.633333333333333,Validation
2022-04-05 09:30:00,Flying Coaster,25.35,Validation
2019-01-26 12:15:00,Flying Coaster,41.55,Validation
2020-02-15 11:45:00,Water Ride,31.7,Validation
2019-08-11 11:45:00,Water Ride,28.883333333333333,Validation
2019-03-30 10:15:00,Flying Coaster,59.96666666666667,Validation
2022-03-17 17:45:00,Flying Coaster,5.55,Validation
2022-08-06 20:45:00,Pirate Ship,21.15,Validation
2022-03-31 18:30:00,Pirate Ship,19.366666666666667,Validation
2019-06-16 10:30:00,Water Ride,25.45,Validation
2020-08-07 15:30:00,Pirate Ship,36.68333333333333,Validation
2021-07-10 17:15:00,Flying Coaster,25.2,Validation
2021-10-03 16:15:00,Water Ride,14.583333333333334,Validation
2019-05-24 20:30:00,Flying Coaster,7.033333333333333,Validation
2019-09-12 17:00:00,Water Ride,25.616666666666667,Validation
2022-07-02 10:30:00,Water Ride,32.31666666666667,Validation
2019-02-18 13:15:00,Water Ride,24.366666666666667,Validation
2019-07-31 11:15:00,Flying Coaster,22.066666666666666,Validation
2019-03-19 12:15:00,Flying Coaster,25.583333333333332,Validation
2019-05-18 18:00:00,Flying Coaster,37.416666666666664,Validation
2019-09-27 18:45:00,Flying Coaster,6.116666666666666,Validation
2020-03-05 13:45:00,Flying Coaster,6.933333333333334,Validation
2022-05-12 17:15:00,Water Ride,33.1,Validation
2019-01-05 16:15:00,Flying Coaster,34.916666666666664,Validation
2019-08-11 12:30:00,Water Ride,33.36666666666667,Validation
2022-05-17 19:45:00,Pirate Ship,32.95,Validation
2019-02-03 13:00:00,Water Ride,38.95,Validation
2020-10-12 14:15:00,Flying Coaster,13.583333333333334,Validation
2021-06-19 10:30:00,Pirate Ship,20.65,Validation
2021-10-29 12:45:00,Pirate Ship,36.18333333333333,Validation
2022-03-07 10:45:00,Pirate Ship,33.03333333333333,Validation
2018-10-23 19:00:00,Flying Coaster,20.233333333333334,Validation
2021-07-31 13:00:00,Water Ride,26.116666666666667,Validation
2020-08-31 18:00:00,Flying Coaster,2.966666666666667,Validation
2019-11-29 20:15:00,Flying Coaster,5.483333333333333,Validation
2022-07-06 13:45:00,Flying Coaster,27.283333333333335,Validation
2019-07-28 09:30:00,Flying Coaster,21.116666666666667,Validation
2020-07-27 12:00:00,Flying Coaster,21.783333333333335,Validation
2020-01-04 12:30:00,Water Ride,35.3,Validation
2019-04-19 18:15:00,Flying Coaster,42.43333333333333,Validation
2021-08-17 19:00:00,Pirate Ship,5.75,Validation
2021-09-19 11:30:00,Flying Coaster,18.666666666666668,Validation
2022-02-16 10:15:00,Water Ride,32.68333333333333,Validation
2021-12-18 15:15:00,Water Ride,33.833333333333336,Validation
2019-06-30 10:00:00,Water Ride,30.75,Validation
2019-09-02 11:45:00,Flying Coaster,27.183333333333334,Validation
2022-02-17 11:30:00,Water Ride,26.2,Validation
2020-03-07 19:00:00,Pirate Ship,7.0,Validation
2021-11-16 16:30:00,Pirate Ship,9.8,Validation
2019-06-20 14:30:00,Water Ride,20.933333333333334,Validation
2020-03-12 16:45:00,Water Ride,12.966666666666667,Validation
2018-12-05 11:45:00,Flying Coaster,8.716666666666667,Validation
2021-07-08 17:15:00,Water Ride,13.1,Validation
2020-09-08 17:30:00,Flying Coaster,6.266666666666667,Validation
2022-05-31 13:15:00,Pirate Ship,39.666666666666664,Validation
2019-08-06 12:45:00,Flying Coaster,41.35,Validation
2019-01-08 14:30:00,Water Ride,12.566666666666666,Validation
2022-01-17 11:30:00,Pirate Ship,22.683333333333334,Validation
2022-07-17 16:30:00,Water Ride,21.866666666666667,Validation
2019-09-13 16:45:00,Water Ride,26.033333333333335,Validation
2020-01-11 12:30:00,Pirate Ship,52.233333333333334,Validation
2021-09-25 12:45:00,Pirate Ship,39.43333333333333,Validation
2019-08-29 14:30:00,Water Ride,42.8,Validation
2019-01-11 12:30:00,Water Ride,14.95,Validation
2019-04-14 17:30:00,Water Ride,22.266666666666666,Validation
2022-07-29 11:15:00,Pirate Ship,31.3,Validation
2019-10-01 13:15:00,Water Ride,14.9,Validation
2019-10-22 14:15:00,Water Ride,36.483333333333334,Validation
2019-07-01 17:00:00,Water Ride,20.15,Validation
2021-07-21 17:30:00,Water Ride,26.25,Validation
2022-03-25 18:45:00,Water Ride,17.35,Validation
2021-07-10 16:45:00,Water Ride,22.5,Validation
2019-01-01 18:45:00,Water Ride,27.3,Validation
2022-05-08 11:30:00,Flying Coaster,26.983333333333334,Validation
2019-05-09 20:00:00,Flying Coaster,5.083333333333333,Validation
2021-12-30 10:30:00,Water Ride,44.88333333333333,Validation
2022-04-10 18:00:00,Pirate Ship,23.916666666666668,Validation
