DATETIME,ENTITY_DESCRIPTION_SHORT,ADJUST_CAPACITY,DOWNTIME,CURRENT_WAIT_TIME,TIME_TO_PARADE_1,TIME_TO_PARADE_2,TIME_TO_NIGHT_SHOW,temp,dew_point,feels_like,pressure,humidity,wind_speed,rain_1h,snow_1h,clouds_all
2019-11-23 10:45:00,Water Ride,247.0,0,20,375.0,75.0,675.0,8.8875,8.5125,6.0,992.0,97.5,5.525,1.6425,0.18,100.0
2022-01-03 16:45:00,Pirate Ship,153.0,0,45,,,,10.975,10.4375,10.645,1013.0,96.5,6.0025,0.7825,0.1564828476576909,100.0
2021-12-04 15:30:00,Pirate Ship,255.0,0,40,,,,7.609999999999999,4.71,4.43,1002.5,82.0,5.42,0.195,0.2011267605633803,88.5
2020-02-05 13:15:00,Water Ride,247.0,0,15,225.0,,345.0,9.0025,4.71,8.355,1037.0,74.5,1.6475,0.350360824742268,0.2228290319126151,100.0
2022-05-13 15:15:00,Flying Coaster,756.0,0,35,135.0,,465.0,20.6625,8.805,20.0025,1022.75,46.5,2.205,0.2351395939086294,1.48,17.75
2020-01-04 10:00:00,Pirate Ship,221.0,0,50,420.0,120.0,720.0,3.0,2.57,0.07,1036.0,97.0,3.04,0.1784070796460177,0.2005290212036838,64.0
2020-10-03 14:00:00,Water Ride,247.0,0,15,,,,13.85,10.08,13.33,990.0,78.0,4.97,0.122,0.3900899550224888,100.0
2021-06-26 10:45:00,Flying Coaster,756.0,0,20,,,,16.31,15.67,16.505,1018.0,96.0,1.3025,0.13875,0.1853032586850416,54.0
2018-11-11 19:30:00,Flying Coaster,756.0,0,5,-150.0,-460.0,90.0,11.05,8.625,10.43,1009.5,85.0,3.73,0.395,,99.0
2018-10-10 14:15:00,Flying Coaster,756.0,0,25,195.0,-125.0,345.0,23.4975,14.215,23.3675,1011.75,56.0,3.14,0.128110465116279,,3.0
2019-04-22 19:15:00,Water Ride,247.0,0,20,-105.0,,165.0,22.975,5.635,22.1775,1000.75,32.5,2.4475,0.1662011173184357,0.3653059820393974,92.75
2019-07-03 11:45:00,Water Ride,247.0,0,20,345.0,,675.0,21.9225,12.125,21.57,1022.0,53.75,4.8,0.2040128205128205,0.3877342844727694,17.25
2020-10-07 13:45:00,Flying Coaster,756.0,0,5,,,,16.0925,11.385,15.68,1018.0,73.75,6.0875,0.12,0.3928584814735489,82.25
2022-07-17 12:30:00,Water Ride,247.0,0,25,300.0,,630.0,26.995,11.475,26.79,1025.0,38.0,3.165,0.1522297297297297,1.48,74.0
2022-05-05 16:45:00,Pirate Ship,306.0,0,35,45.0,,375.0,17.375,11.305,16.93,1023.0,67.5,3.955,0.22,1.48,47.75
2020-03-08 12:45:00,Water Ride,247.0,0,25,255.0,,435.0,9.9475,7.9725,6.6425,1015.0,87.5,7.85,0.1725,0.2450206146926536,100.0
2018-10-06 16:30:00,Pirate Ship,280.5,0,70,60.0,-260.0,330.0,22.355,10.02,21.835,1006.5,45.5,4.19,0.1359036144578313,,25.0
2022-06-05 15:00:00,Flying Coaster,756.0,0,50,150.0,,480.0,19.76,17.72,20.09,1016.0,88.0,3.88,0.295,1.48,99.0
2019-09-29 17:15:00,Flying Coaster,756.0,0,5,15.0,-285.0,225.0,19.14,16.23,19.285,1003.0,83.25,9.615,0.265,0.4153378476245655,63.25
2019-09-06 18:30:00,Flying Coaster,756.0,0,25,-60.0,,150.0,20.185,6.705,19.345,1022.0,41.5,3.355,0.1379185520361991,0.4081583140208574,100.0
2021-06-20 09:45:00,Water Ride,247.0,0,5,,,,18.745,16.9775,19.0125,1010.0,89.5,2.7775,0.245,0.185511412575366,79.0
2022-03-01 10:15:00,Pirate Ship,303.733,0,30,,,,5.0375,2.175,3.8075,1027.0,81.75,1.665,0.10921875,0.1263500553301365,99.75
2019-09-29 10:30:00,Flying Coaster,756.0,0,15,420.0,120.0,630.0,14.685,12.455,14.465,1007.0,86.5,7.109999999999999,1.3050000000000002,0.415249855156431,83.5
2022-05-05 16:45:00,Flying Coaster,756.0,0,30,45.0,,375.0,17.375,11.305,16.93,1023.0,67.5,3.955,0.22,1.48,47.75
2019-01-21 11:00:00,Flying Coaster,346.5,0,25,330.0,,450.0,-1.85,-1.85,-4.45,1025.0,100.0,1.88,0.1384615384615384,0.2427450980392157,0.0
2020-02-26 13:45:00,Water Ride,247.0,0,30,195.0,,375.0,5.657500000000001,2.9125,1.0975,1008.75,82.5,7.78,0.2675,0.2374162026129792,71.25
2019-03-22 17:15:00,Water Ride,247.0,0,15,15.0,,165.0,17.457500000000003,2.815,16.240000000000002,1027.75,37.5,1.605,0.1403263888888888,0.3555811848203939,0.0
