DATETIME,ENTITY_DESCRIPTION_SHORT,y_pred,KEY
2019-11-23 10:45:00,Water Ride,35.513214111328125,Validation
2022-01-03 16:45:00,Pirate Ship,45.15357208251953,Validation
2021-12-04 15:30:00,Pirate Ship,31.9365234375,Validation
2020-02-05 13:15:00,Water Ride,18.999181747436523,Validation
2022-05-13 15:15:00,Flying Coaster,19.10310173034668,Validation
2020-01-04 10:00:00,Pirate Ship,53.763526916503906,Validation
2020-10-03 14:00:00,Water Ride,17.696979522705078,Validation
2021-06-26 10:45:00,Flying Coaster,38.73545455932617,Validation
2018-11-11 19:30:00,Flying Coaster,-3.529881238937378,Validation
2018-10-10 14:15:00,Flying Coaster,22.061710357666016,Validation
2019-04-22 19:15:00,Water Ride,2.441971778869629,Validation
2019-07-03 11:45:00,Water Ride,21.763397216796875,Validation
2020-10-07 13:45:00,Flying Coaster,4.597894191741943,Validation
2022-07-17 12:30:00,Water Ride,27.846906661987305,Validation
2022-05-05 16:45:00,Pirate Ship,40.54937744140625,Validation
2020-03-08 12:45:00,Water Ride,27.482452392578125,Validation
2018-10-06 16:30:00,Pirate Ship,47.65834045410156,Validation
2022-06-05 15:00:00,Flying Coaster,24.397380828857422,Validation
2019-09-29 17:15:00,Flying Coaster,16.425180435180664,Validation
2019-09-06 18:30:00,Flying Coaster,5.723699569702148,Validation
2021-06-20 09:45:00,Water Ride,13.83733081817627,Validation
2022-03-01 10:15:00,Pirate Ship,31.7930965423584,Validation
2019-09-29 10:30:00,Flying Coaster,23.464969635009766,Validation
2022-05-05 16:45:00,Flying Coaster,19.728269577026367,Validation
2019-01-21 11:00:00,Flying Coaster,20.038373947143555,Validation
2020-02-26 13:45:00,Water Ride,27.073259353637695,Validation
2019-03-22 17:15:00,Water Ride,9.361442565917969,Validation
2022-07-17 19:45:00,Pirate Ship,17.029254913330078,Validation
2021-09-07 10:15:00,Flying Coaster,17.74517059326172,Validation
2021-11-01 13:15:00,Flying Coaster,37.52781295776367,Validation
2022-05-02 19:15:00,Flying Coaster,5.833535194396973,Validation
2021-09-15 16:00:00,Flying Coaster,3.7307610511779785,Validation
2021-07-15 11:30:00,Pirate Ship,21.029705047607422,Validation
2020-02-29 17:15:00,Water Ride,28.964332580566406,Validation
2021-11-22 12:00:00,Flying Coaster,10.357734680175781,Validation
2019-03-18 17:30:00,Flying Coaster,15.049551010131836,Validation
2021-08-22 18:30:00,Flying Coaster,8.439247131347656,Validation
2019-08-31 20:45:00,Flying Coaster,23.236482620239258,Validation
2019-12-31 15:30:00,Pirate Ship,31.699573516845703,Validation
2020-08-17 12:45:00,Water Ride,18.20263671875,Validation
2021-08-20 16:00:00,Flying Coaster,16.333253860473633,Validation
2021-09-05 14:45:00,Water Ride,19.621105194091797,Validation
2020-08-02 18:00:00,Pirate Ship,12.889277458190918,Validation
2019-12-24 14:15:00,Water Ride,37.69069290161133,Validation
2020-02-26 16:15:00,Pirate Ship,34.68268966674805,Validation
2020-01-14 15:45:00,Pirate Ship,35.08641815185547,Validation
2021-08-16 14:30:00,Pirate Ship,31.179241180419922,Validation
2018-10-07 11:30:00,Flying Coaster,25.126373291015625,Validation
2019-12-18 11:15:00,Pirate Ship,26.708297729492188,Validation
2022-02-23 13:15:00,Pirate Ship,35.47323226928711,Validation
2021-08-20 10:45:00,Flying Coaster,19.710878372192383,Validation
2021-11-10 13:45:00,Flying Coaster,15.636486053466797,Validation
2019-05-27 14:15:00,Water Ride,24.182350158691406,Validation
2022-03-18 13:30:00,Pirate Ship,35.52118682861328,Validation
2022-03-30 16:30:00,Pirate Ship,49.37565994262695,Validation
